Month,Price,Change
2022-02,249.93360875785683,0.0219
2022-03,263.08100374555914,0.0526
2022-04,265.6887488546305,0.009899999999999999
2022-05,260.61665085922806,-0.0191
2022-06,259.9029048177858,-0.0027
2022-07,247.44867940906974,-0.0479
2022-08,253.3566961917469,0.0239
2022-09,245.7350458951565,-0.0301
2022-10,251.15565772340733,0.022099999999999998
2022-11,257.2035301493401,0.0241
2022-12,255.01406594113203,-0.0085
2023-01,264.18184448695484,0.036000000000000004
2023-02,260.8770717121867,-0.0125
2023-03,274.79833459257,0.053399999999999996
2023-04,284.3528863311203,0.0348
2023-05,290.159306830421,0.0204
2023-06,289.58220135997556,-0.002
